id,value
id_0,6.51E+00
id_1,1.82E+01
id_2,2.45E+01
id_3,7.68E+00
id_4,2.71E+01
id_5,2.21E+01
id_6,2.37E+01
id_7,3.08E+01
id_8,1.69E+01
id_9,5.95E+01
id_10,1.17E+01
id_11,9.34E+00
id_12,6.33E+01
id_13,5.33E+01
id_14,2.20E+01
id_15,1.22E+01
id_16,3.24E+01
id_17,6.67E+01
id_18,0.00E+00
id_19,1.71E+01
id_20,4.19E+01
id_21,7.24E+01
id_22,9.22E+00
id_23,1.80E+01
id_24,1.47E+01
id_25,3.83E+01
id_26,1.49E+01
id_27,6.21E+01
id_28,7.22E+00
id_29,5.56E+01
id_30,2.44E+01
id_31,8.69E+00
id_32,2.57E+00
id_33,1.86E+01
id_34,2.76E+01
id_35,3.73E+01
id_36,4.33E+01
id_37,2.96E+01
id_38,4.19E+01
id_39,3.54E+01
id_40,7.78E+00
id_41,4.12E+01
id_42,3.04E+01
id_43,5.11E+01
id_44,1.75E+01
id_45,3.55E+01
id_46,2.46E+01
id_47,9.70E+00
id_48,2.66E+01
id_49,3.23E+01
id_50,2.03E+01
id_51,7.86E+00
id_52,2.04E+01
id_53,5.26E+01
id_54,1.59E+01
id_55,3.62E+01
id_56,3.31E+01
id_57,2.07E+01
id_58,5.73E+01
id_59,2.28E+01
id_60,1.43E+01
id_61,4.18E+01
id_62,1.28E+01
id_63,4.85E+01
id_64,1.42E+01
id_65,1.50E+01
id_66,1.45E+01
id_67,0.00E+00
id_68,4.38E+01
id_69,2.91E+01
id_70,2.04E+01
id_71,4.17E+01
id_72,6.03E+01
id_73,5.58E+00
id_74,1.65E+01
id_75,3.37E+00
id_76,4.03E+01
id_77,1.43E+01
id_78,2.17E+01
id_79,2.10E+01
id_80,2.39E+01
id_81,3.61E+01
id_82,2.18E+01
id_83,9.25E+01
id_84,3.73E+01
id_85,2.80E+01
id_86,2.20E+01
id_87,3.35E+01
id_88,2.33E+01
id_89,1.98E+01
id_90,2.86E+01
id_91,4.14E+01
id_92,4.88E+00
id_93,3.84E+01
id_94,4.58E+01
id_95,1.65E+01
id_96,3.15E+01
id_97,1.30E+01
id_98,2.32E+01
id_99,4.59E+00
id_100,1.82E+01
id_101,2.64E+01
id_102,1.41E+01
id_103,1.59E+01
id_104,2.39E+01
id_105,3.98E+01
id_106,3.14E+01
id_107,6.11E+00
id_108,6.09E+00
id_109,7.86E+01
id_110,4.81E+01
id_111,1.72E+01
id_112,2.76E+01
id_113,1.51E+01
id_114,1.38E+01
id_115,2.49E+01
id_116,2.66E+01
id_117,1.05E+01
id_118,1.85E+01
id_119,1.96E+01
id_120,8.05E+01
id_121,2.54E+01
id_122,3.73E+01
id_123,2.56E+01
id_124,7.42E+00
id_125,3.89E+01
id_126,9.25E+00
id_127,2.19E+01
id_128,2.92E+01
id_129,6.29E+01
id_130,2.20E+01
id_131,2.35E+01
id_132,5.90E+01
id_133,1.52E+01
id_134,1.41E+01
id_135,2.62E+00
id_136,1.26E+01
id_137,5.87E+01
id_138,2.05E+01
id_139,5.39E+00
id_140,2.90E+01
id_141,2.53E+01
id_142,4.53E+01
id_143,3.08E+01
id_144,1.83E+01
id_145,2.60E+01
id_146,1.20E+01
id_147,5.20E+01
id_148,2.33E+01
id_149,3.86E+01
id_150,1.01E+01
id_151,8.19E+00
id_152,2.33E+01
id_153,6.39E+00
id_154,1.50E+01
id_155,4.10E+01
id_156,7.79E+00
id_157,3.62E+01
id_158,1.12E+01
id_159,1.92E+01
id_160,4.16E+01
id_161,1.94E+01
id_162,1.33E+01
id_163,8.20E+00
id_164,5.27E+01
id_165,3.13E+01
id_166,0.00E+00
id_167,1.63E+01
id_168,6.36E+01
id_169,1.39E+01
id_170,6.35E+01
id_171,3.93E+01
id_172,2.70E+01
id_173,2.03E+01
id_174,6.12E+01
id_175,2.51E+01
id_176,2.10E+01
id_177,3.73E+01
id_178,1.24E+01
id_179,3.13E+01
id_180,1.68E+01
id_181,1.17E+01
id_182,5.57E+01
id_183,4.63E+01
id_184,1.57E+01
id_185,3.53E+01
id_186,2.62E+01
id_187,6.85E+01
id_188,9.97E+00
id_189,5.78E+01
id_190,3.82E+01
id_191,1.55E+01
id_192,2.90E+01
id_193,1.49E-01
id_194,1.91E+01
id_195,9.31E-01
id_196,3.37E+01
id_197,1.04E+01
id_198,1.89E+01
id_199,6.00E+01
id_200,2.52E+01
id_201,2.56E+01
id_202,6.45E+01
id_203,1.04E+01
id_204,9.21E+00
id_205,1.12E+01
id_206,7.35E+00
id_207,1.70E+00
id_208,1.24E+02
id_209,2.08E+01
id_210,1.64E+01
id_211,1.40E+01
id_212,3.63E+01
id_213,3.59E+01
id_214,1.90E+01
id_215,3.50E+01
id_216,7.86E+01
id_217,5.19E-01
id_218,1.30E+01
id_219,3.17E+01
id_220,1.49E+01
id_221,1.29E+01
id_222,1.13E+02
id_223,1.30E+01
id_224,1.65E+01
id_225,6.43E+01
id_226,1.61E+01
id_227,1.96E+01
id_228,1.01E+01
id_229,3.72E+00
id_230,4.64E+01
id_231,1.26E+01
id_232,5.37E+01
id_233,4.24E+01
id_234,2.56E+01
id_235,4.07E+01
id_236,6.91E+01
id_237,4.23E+01
id_238,1.12E+01
id_239,1.83E+01
